#{"t_start": 1764105416.99119, "env_id": "Gym-Gridworlds/CliffWalk-4x12-v0"}
r,l,t
-48.354167,200,8.934381
-48.5625,200,8.96368
-100.0,1,8.963936
-25.0625,138,8.983801
-39.3125,200,9.013431
-139.5,189,9.04078
-49.6875,200,9.069273
-29.416667,200,9.098463
-25.916667,200,9.779918
-28.083333,200,9.809229
-22.020833,200,9.840482
-29.083333,200,9.869947
-120.4375,190,9.898286
-20.6875,200,9.927028
-26.145833,200,9.956012
-33.770833,200,9.985267
-39.5625,200,10.014257
-30.645833,200,10.042962
-107.395833,29,10.047303
-39.291667,200,10.075845
-17.208333,149,10.803575
-102.020833,9,10.804945
-21.104167,200,10.833567
-24.791667,200,10.862222
-100.0,1,10.862483
-112.229167,122,10.879426
-24.208333,200,10.906913
-19.666667,200,10.934769
-100.0,1,10.934994
-26.5,200,10.963083
-11.270833,103,10.977626
-23.75,200,11.006702
-100.229167,2,11.007149
-15.5,139,11.026987
-23.875,200,11.055445
-105.770833,25,11.059128
-100.0,1,11.0593
-24.645833,200,11.876377
-100.0,1,11.87783
-23.916667,200,11.928904
-23.8125,176,11.975254
-17.104167,200,12.020901
-26.5,200,12.061208
-20.0,200,12.100998
-22.666667,200,12.144249
-20.708333,200,12.194786
-117.520833,146,12.222756
-26.0625,200,12.253738
-19.25,200,12.282426
-21.041667,200,13.07474
-17.083333,200,13.103888
-111.083333,65,13.113611
-20.104167,200,13.142242
-115.625,161,13.164992
-22.3125,200,13.192824
-7.083333,62,13.201621
-23.291667,200,13.229553
-10.125,98,13.243275
-19.770833,200,13.271106
-20.3125,200,13.299038
-19.270833,200,13.329208
-19.583333,200,14.318665
-17.041667,200,14.3507
-9.6875,61,14.35993
-100.0,1,14.360122
-20.270833,200,14.389268
-19.166667,200,14.418354
-17.416667,200,14.447625
-15.854167,184,14.474468
-18.354167,200,14.50318
-100.0,1,14.503416
-12.25,109,14.519235
-17.5625,200,14.547563
-100.0,1,14.547803
-9.5625,111,14.563707
-17.208333,200,14.592243
-20.1875,200,15.267894
-16.958333,200,15.297175
-15.875,200,15.3261
-16.875,175,15.35142
-17.729167,200,15.379769
-7.770833,48,15.38662
-9.5625,95,15.400276
-17.5,200,15.428924
-15.895833,200,15.457344
-108.104167,44,15.463806
-17.916667,200,15.492631
-6.75,56,15.501051
-16.604167,200,15.529519
-10.979167,99,16.16704
-5.458333,45,16.173577
-14.333333,200,16.201981
-15.541667,200,16.230743
-7.854167,76,16.241706
-6.625,57,16.249886
-11.8125,153,16.271673
-17.854167,200,16.300116
-17.5625,200,16.328667
-14.916667,200,16.357705
-100.0,1,16.357958
-12.145833,187,16.385166
-100.0,1,16.38535
-7.291667,98,16.399365
-15.604167,200,16.427883
-9.0625,86,16.440259
-8.020833,104,16.455134
-5.5,65,17.087549
