#{"t_start": 1764783648.738105, "env_id": "Gym-Gridworlds/FourRooms-Original-13x13-v0"}
r,l,t
-0.532544,27,6.887616
0.674556,11,6.891331
0.633136,13,6.896292
0.87574,7,6.898639
0.757396,11,6.902094
0.911243,6,6.903645
0.733728,10,6.908226
0.83432,8,6.910732
0.64497,12,6.915569
0.745562,11,6.919061
0.911243,6,6.92137
-1.899408,37,6.934434
-0.384615,25,6.942153
0.698225,11,6.945108
-4.627219,98,6.976956
-0.0,19,6.98595
-0.591716,42,7.001636
-0.017751,20,7.008368
0.810651,9,7.011618
0.911243,6,7.01363
-5.668639,146,7.056527
0.47929,16,7.060826
0.609467,12,7.065452
-0.390533,23,7.071927
0.35503,22,7.0785
-0.136095,21,7.08479
-0.065089,24,7.092227
0.609467,12,7.095502
-2.136095,90,7.12208
0.887574,7,7.124346
0.786982,9,7.127788
0.650888,13,7.132094
0.207101,20,7.138135
0.786982,9,7.140725
-0.272189,22,7.147816
0.550296,13,7.152796
-3.568047,81,7.18019
-0.284024,22,7.186198
0.64497,12,7.190763
-0.621302,25,7.198438
0.461538,17,7.203483
0.230769,17,7.20832
0.668639,12,7.21256
0.106509,19,7.218366
0.035503,20,7.224702
-3.12426,62,7.242193
0.609467,12,7.246343
0.213018,19,7.252128
-1.532544,41,7.265275
-0.08284,22,7.27188
0.142012,18,7.277592
-0.16568,27,7.285811
-0.366864,23,7.293596
-0.065089,25,7.300365
0.609467,12,7.304673
0.414201,35,7.318762
0.112426,20,7.324769
-0.183432,21,7.330977
0.627219,15,7.337119
0.556213,16,7.341911
0.846154,9,7.344686
-0.372781,35,7.355831
-0.544379,30,7.365158
0.710059,12,7.368732
0.994083,2,7.370468
0.455621,16,7.375323
0.887574,7,7.378523
0.609467,12,7.38207
0.023669,22,7.387961
-0.313609,28,7.396031
0.674556,11,7.400242
0.710059,11,7.4033
-18.733728,200,7.45846
-2.195266,75,7.479742
-1.071006,52,7.495786
-10.769231,123,7.530873
0.745562,10,7.534056
0.698225,11,7.536841
0.278107,17,7.542929
-1.16568,45,7.555297
0.130178,18,7.560528
-1.224852,120,7.596477
0.047337,19,7.602823
0.337278,38,7.613749
-2.692308,58,7.629554
-0.011834,19,7.635023
0.627219,12,7.638903
0.278107,20,7.64437
0.674556,11,7.647737
0.994083,2,7.647994
0.911243,6,7.650912
0.893491,8,7.653221
-4.284024,110,7.683447
0.786982,9,7.686039
0.254438,20,7.692583
-0.12426,20,7.698173
0.674556,11,7.701931
-1.0,32,7.710888
0.130178,18,7.717252
0.698225,11,7.71978
0.87574,7,7.721962
-14.786982,200,7.77784
1.0,1,7.778532
0.384615,17,7.784114
0.786982,9,7.786447
0.798817,9,7.788729
0.266272,19,7.795005
0.384615,15,7.799902
0.130178,18,7.804699
0.313609,17,7.809406
-0.272189,22,7.817025
-0.502959,52,7.831711
0.982249,3,7.832851
0.982249,3,7.833206
-1.491124,35,7.844432
0.455621,16,7.849027
0.550296,16,7.85341
0.431953,16,7.857975
0.810651,9,7.860954
0.195266,17,7.866794
1.0,1,7.866961
0.538462,40,7.880726
0.964497,4,7.882878
0.798817,9,7.885489
0.260355,18,7.891208
0.964497,4,7.892509
0.366864,16,7.899353
0.87574,7,7.90087
1.0,1,7.901711
0.076923,53,7.916792
-0.213018,22,7.923164
0.331361,18,7.928476
0.64497,12,7.93226
0.887574,7,7.934342
0.786982,9,7.937484
0.733728,10,7.939964
0.461538,14,7.944261
0.639053,13,7.947764
0.964497,4,7.949737
0.710059,11,7.953116
0.994083,2,7.953365
0.207101,17,7.958554
0.710059,11,7.961866
0.550296,13,7.966442
0.733728,10,7.968993
0.094675,18,7.974388
0.621302,13,7.978475
0.130178,47,7.991837
0.982249,3,7.992139
0.461538,14,7.996242
0.461538,14,8.000761
0.591716,16,8.005167
-0.12426,20,8.010786
-0.455621,24,8.017483
-0.857988,36,8.027936
0.87574,7,8.029991
0.52071,14,8.03476
-0.674556,27,8.041632
0.982249,3,8.043283
0.289941,16,8.047685
0.094675,18,8.053179
0.550296,13,8.056736
0.366864,18,8.062088
0.088757,20,8.06755
0.982249,3,8.068576
0.733728,10,8.071747
0.272189,19,8.077688
0.597633,13,8.081979
0.804734,11,8.084465
0.378698,15,8.088771
0.674556,11,8.092891
0.911243,6,8.094195
-6.668639,93,8.120147
0.52071,15,8.124
0.485207,15,8.129161
0.964497,4,8.130418
0.994083,2,8.131445
0.16568,18,8.136063
0.982249,3,8.138254
0.674556,11,8.142141
